Classifier	Relation	Run	Fold	AUPRC (macro averaged)	AUROC (macro averaged)	Accuracy	Avg precision	Build Time	Empty labelvectors (predicted)	Exact match	F1 (macro averaged by example)	F1 (macro averaged by label)	F1 (micro averaged)	Hamming loss	Hamming score	Harmonic score	Jaccard distance	Jaccard index	Label cardinality (predicted)	Label cardinality (test set)	Label cardinality (train set)	Levenshtein distance	Log Loss (lim. D)	Log Loss (lim. L)	Number of test instances	Number of test instances (N)	Number of training instances	One error	Rank loss	Test Time	Total Time	ZeroOne loss
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	1	NaN	NaN	0.34187552213868	0.2557362566071779	5355.683	0.0	0.0	0.4932191590086324	0.05802677750426015	0.510314875135722	0.0497627717091472	0.9502372282908528	0.8799565542053843	0.65812447786132	0.34187552213868	3.543859649122807	1.8421052631578947	3.5499673416067927	0.049431755489352434	0.441495913719549	0.4306813829364693	171.0	171	1531.0	0.7251461988304093	0.06080137067929195	4.28	5359.963	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	2	NaN	NaN	0.3644319131161237	0.09930348036856866	5365.589	0.0	0.005847953216374324	0.4952247232948988	0.06664150528201934	0.5160744500846024	0.06311375924086952	0.9368862407591305	0.6167911369659085	0.6355680868838762	0.3644319131161237	3.3508771929824563	3.56140350877193	3.3579359895493144	0.058920887123469115	0.3491696565429971	0.3475056056035077	171.0	171	1531.0	0.36257309941520466	0.10384235787469101	7.331	5372.92	0.9941520467836257
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	3	NaN	NaN	0.3596568627450981	0.12167429323988153	5344.216	0.0	0.00588235294117645	0.49244624656389374	0.06944241928281418	0.5145299145299146	0.06304106548279699	0.936958934517203	0.6215011862627666	0.6403431372549019	0.3596568627450981	3.3529411764705883	3.5294117647058822	3.3616187989556137	0.060599334073252034	0.3373552205718768	0.335386771843775	170.0	170	1532.0	0.3764705882352941	0.08288985729089793	5.171	5349.387	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	4	NaN	NaN	0.38361344537815145	0.11433110226479881	5318.165	0.0	0.00588235294117645	0.5163368983957219	0.07916942653882675	0.5405857740585774	0.0609322974472809	0.9390677025527191	0.6318242449662392	0.6163865546218485	0.38361344537815145	3.335294117647059	3.6941176470588237	3.343342036553525	0.05937846836847956	0.3390705932796974	0.3371760659699443	170.0	170	1532.0	0.32941176470588235	0.0749503073216428	5.88	5324.045	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	5	NaN	NaN	0.38877684407096186	0.09201647204746877	5348.529	0.0	0.00588235294117645	0.5284343434343433	0.08780434741054989	0.5421686746987953	0.05904550499445071	0.9409544950055493	0.6625610807135685	0.6112231559290382	0.38877684407096186	3.364705882352941	3.4705882352941178	3.368146214099217	0.05704772475027756	0.4087919899386995	0.4059546040903646	170.0	170	1532.0	0.2529411764705882	0.10468064769925507	4.788	5353.317	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	6	NaN	NaN	0.3754901960784314	0.09967288068997386	5363.881	0.0	0.0	0.512746371275783	0.09218511201804881	0.5326278659611994	0.05882352941176479	0.9411764705882352	0.6672434340238741	0.6245098039215686	0.3754901960784314	3.3823529411764706	3.288235294117647	3.3883812010443863	0.057491675915649354	0.4032431022739086	0.3954903111792835	170.0	170	1532.0	0.3588235294117647	0.10121917600577358	5.527	5369.408	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	7	NaN	NaN	0.38621912401324165	0.12023070236056105	5290.595	0.0	0.0	0.5246144704968233	0.08171092514291596	0.534804753820034	0.06082130965593789	0.9391786903440621	0.6569638397699962	0.6137808759867583	0.38621912401324165	3.3588235294117648	3.570588235294118	3.3570496083550916	0.05782463928967818	0.36336842915021417	0.35751226144641524	170.0	170	1532.0	0.3352941176470588	0.0879147965660748	9.403	5299.998	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	8	NaN	NaN	0.360966386554622	0.12548458219344238	5297.144	0.0	0.0	0.4901918343094814	0.08959203310413665	0.5264873675631623	0.06448390677025542	0.9355160932297446	0.5963341842524084	0.639033613445378	0.360966386554622	3.3117647058823527	3.9058823529411764	3.3198433420365534	0.057602663706992366	0.3400090535057541	0.33480739102462787	170.0	170	1532.0	0.6	0.08586459133236592	9.582	5306.726	1.0
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	9	NaN	NaN	0.3375746965452849	0.11264727302208243	5349.034	0.0	0.00588235294117645	0.462537136066548	0.08059093602866657	0.47776809067131654	0.06648168701442847	0.9335183129855715	0.5940534076319305	0.6624253034547152	0.3375746965452849	3.376470588235294	3.3705882352941177	3.379242819843342	0.06381798002219762	0.3648830828759303	0.3595537453694956	170.0	170	1532.0	0.3411764705882353	0.10766130521490236	4.515	5353.549	0.9941176470588236
meka.classifiers.multilabel.meta.BaggingML -S 1 -I 10 -P 67 -W meka.classifiers.multilabel.MULANedit -- -S BPMLLwD3d -W weka.classifiers.trees.J48 -- -C 0.25 -M 2	Enron: -C 53	3	10	NaN	NaN	0.351372549019608	0.1129342228493604	5324.419	0.0	0.0	0.48882650029708835	0.09560983053636594	0.5140425531914894	0.06337402885682582	0.9366259711431741	0.6186659557179195	0.648627450980392	0.351372549019608	3.3529411764705883	3.5588235294117645	3.358355091383812	0.06159822419533859	0.3478445577877582	0.3461031555970336	170.0	170	1532.0	0.36470588235294116	0.09841708876551068	7.171	5331.59	1.0
